date,hu101-cvpm01g,hu102-cvpm02g,hu103a-cvpm03ag,hu103b-cvpm03bg,hu104-cvpm04g,hu202-cvpm05g,hu203-cvpm06g,hu204-cvpm07g,hu207-cvpm08g,hu206-cvpm09g,hu303-cvpm10g,hu302-cvpm11g,hu305-cvpm12g,hu306-cvpm13g,hu402a-cvpm14ag,hu402b-cvpm14bg,hu404a-cvpm15ag,hu404b-cvpm15bg,hu401-cvpm16g,hu403-cvpm17g,hu405-cvpm18g,hu408a-cvpm19ag,hu408b-cvpm19bg,hu407-cvpm20g,hu409a-cvpm21ag,hu409b-cvpm21bg,hu409c-cvpm21cg,hu501-agg_vent,hu511-agg_sd,hu101-cvpm01s,hu102-cvpm02s,hu103a-cvpm03as,hu103b-cvpm03bs,hu104-cvpm04s,hu202-cvpm05s,hu203-cvpm06s,hu204-cvpm07s,hu207-cvpm08s,hu206-cvpm09s,hu303-cvpm10s,hu302-cvpm11s,hu305-cvpm12s,hu306-cvpm13s,hu402a-cvpm14as,hu402b-cvpm14bs,hu404a-cvpm15as,hu404b-cvpm15bs,hu401-cvpm16s,hu403-cvpm17s,hu405-cvpm18s,hu408a-cvpm19as,hu408b-cvpm19bs,hu407-cvpm20s,hu409a-cvpm21as,hu409b-cvpm21bs,hu409c-cvpm21cs,hu501-ags_vent,hu511-ags_sd,hu510-ags_imp,hu507-agg_coach,hu512-ags_bard,hu508-ags_palo,hu507-ags_coach,hu509-agg_ew,hu502-agg_av
31.01.1926,0.03,0.09,2.54,0.77,1.74,6.42,0.25,5.54,0.13,0.23,11.54,4.51,2.92,3.32,12.54,1.35,16.26,0.64,0.22,1.11,10.4,0,2.74,1.3,4.64,2,0,0.07,0.15,0.03,0.04,2.54,0.77,0.01,3.37,0,2.35,0.04,0.1,3.89,3.76,2.13,0.06,16.89,1.82,2.32,0.09,0.17,0,0,4.79,7.45,5.04,6.87,2.97,1.33,0,0.22,23.55,1.84,1.05,4.71,0.61,0.09,0.02
28.02.1926,0,0.21,1.58,0.48,1.53,1.25,0.34,5.09,0.1,0.69,28.56,5.37,4.79,8.11,12.78,1.38,16.94,0.67,0.07,0.23,19.28,0,1.54,0.43,2.1,0.91,0,0.1,0.09,0,0.1,1.57,0.48,0.01,0.66,0.01,2.16,0.03,0.32,9.62,4.47,3.49,0.16,17.21,1.85,2.42,0.1,0.05,0,0,2.69,4.18,1.65,3.11,1.34,0.6,0.01,0.14,14.52,1.14,0.64,2.91,0.38,0.13,0.03
31.03.1926,0.13,3.33,5.58,1.7,5.92,5.45,12.84,6.79,3.15,6.1,71.81,19.69,24.92,58.08,37.09,3.99,144.64,5.69,17.24,14.21,161.52,0,16.83,10.59,24.21,10.45,0,3.63,1.1,0.13,1.52,5.56,1.69,0.03,2.86,0.25,2.88,0.93,2.78,24.19,16.41,18.17,1.13,49.95,5.38,20.66,0.81,12.95,0.05,0,29.46,45.78,40.97,35.89,15.49,6.96,0.19,1.65,173.27,13.55,7.69,34.69,4.52,4.77,1.3
30.04.1926,2.12,25.03,59.75,18.18,95.29,107.45,64.62,40.49,33.45,56.38,88.49,50.37,52.82,147.82,17.17,1.85,107.42,4.23,27.18,68.01,213.66,0,11.24,14.06,16.21,7,0,18.28,1.04,2.03,11.41,59.54,18.11,0.48,56.46,1.26,17.19,9.84,25.69,29.8,41.99,38.52,2.87,23.12,2.49,15.35,0.6,20.42,0.23,0,19.68,30.59,54.4,24.03,10.37,4.66,0.96,1.57,164.48,12.86,7.3,32.92,4.29,24.02,6.53
31.05.1926,3.58,43.1,78.42,23.85,146.85,131.33,135.73,43.32,98.09,146.12,158.24,74.24,79.71,273.7,59.68,6.43,230.59,9.08,40.47,168.23,391.28,0,22.63,28.08,40.42,17.45,0,38.39,2.18,3.43,19.64,78.13,23.77,0.75,69,2.64,18.39,28.86,66.59,53.29,61.89,58.13,5.31,80.37,8.65,32.94,1.3,30.42,0.57,0,39.62,61.57,108.63,59.91,25.86,11.61,2.02,3.27,343.26,26.83,15.24,68.71,8.94,50.45,13.71
30.06.1926,4.02,50.35,86.63,26.35,176.44,158.44,163.17,57.42,121.18,205.47,213.32,80.9,90.77,311.2,97.64,10.51,333.56,13.13,41.51,173.5,516.98,0,33.15,28.91,52.49,22.66,0,46.15,2.75,3.85,22.95,86.32,26.26,0.9,83.25,3.17,24.38,35.65,93.63,71.84,67.44,66.2,6.03,131.49,14.16,47.65,1.88,31.2,0.59,0,58.03,90.19,111.86,77.8,33.58,15.08,2.43,4.12,432.66,33.82,19.21,86.61,11.27,60.64,16.48
31.07.1926,4.42,61.67,92.3,28.08,190.4,168.35,183.27,61.61,141.28,229.97,230.3,82.94,94.84,343.48,98.78,10.63,367.02,14.45,42.01,171.15,529.63,0,38.28,32.3,59.29,25.59,0,51.84,3,4.24,28.11,91.97,27.97,0.97,88.46,3.56,26.16,41.56,104.8,77.56,69.14,69.17,6.66,133.02,14.32,52.43,2.06,31.57,0.58,0,67.02,104.16,124.99,87.88,37.93,17.03,2.73,4.5,472.98,36.97,21,94.68,12.32,68.12,18.51
31.08.1926,4.2,51.65,79.64,24.22,153.45,133.41,142.17,49.44,114.55,159.09,192.96,69.46,73.73,293.21,80.31,8.65,302.9,11.93,31.6,132.81,403.49,0,32.48,25.96,48.9,21.11,0,40.21,2.44,4.03,23.54,79.35,24.14,0.78,70.1,2.76,20.99,33.7,72.5,64.99,57.9,53.77,5.69,108.14,11.64,43.27,1.7,23.74,0.45,0,56.86,88.37,100.43,72.48,31.28,14.05,2.12,3.66,383.85,30.01,17.04,76.84,10,52.84,14.36
30.09.1926,3.7,33.32,37.6,11.44,54.63,59.38,53.9,19.84,57.47,62.91,81.49,43.58,45.53,116.43,6.84,0.74,49.85,1.96,15.71,60.45,120.79,0,3.5,7.21,7.79,3.36,0,15.25,0.54,3.54,15.19,37.46,11.4,0.28,31.2,1.05,8.43,16.91,28.67,27.44,36.33,33.21,2.26,9.21,0.99,7.12,0.28,11.81,0.2,0,6.13,9.53,27.88,11.55,4.99,2.24,0.8,0.81,85.46,6.68,3.79,17.11,2.23,20.04,5.45
31.10.1926,2.31,11.19,22.62,6.88,17.47,43.15,27.34,9.3,21.41,17,58.64,20.92,24.71,59.43,17.74,1.91,85.04,3.35,6.44,26.11,77.7,0,9.11,5.55,12.88,5.56,0,7.73,0.61,2.22,5.1,22.53,6.85,0.09,22.67,0.53,3.95,6.3,7.75,19.75,17.44,18.02,1.15,23.9,2.57,12.15,0.48,4.84,0.09,0,15.96,24.8,21.46,19.1,8.24,3.7,0.41,0.91,95.81,7.49,4.25,19.18,2.5,10.16,2.76
30.11.1926,0.27,1.25,10.61,3.23,8.41,24.48,1.47,5.29,1.4,2.23,24.74,4.91,6.12,5.15,6.65,0.72,8.76,0.34,0.23,0.34,7.01,0,0.88,0.11,0.74,0.32,0,0.41,0.04,0.25,0.57,10.57,3.22,0.04,12.86,0.03,2.24,0.41,1.02,8.33,4.1,4.46,0.1,8.95,0.96,1.25,0.05,0.17,0,0,1.54,2.39,0.42,1.09,0.47,0.21,0.02,0.06,6.77,0.53,0.3,1.36,0.18,0.55,0.15
31.12.1926,0.11,0.1,4.68,1.42,6.67,16.23,0.27,5.81,0.45,0.14,13.01,2.96,5.27,2.35,10.87,1.17,9.06,0.36,0,0,2.11,0,0.05,0,0,0,0,0.08,0.02,0.1,0.05,4.66,1.42,0.03,8.53,0.01,2.47,0.13,0.06,4.38,2.47,3.84,0.05,14.64,1.58,1.29,0.05,0,0,0,0.08,0.13,0,0,0,0,0,0.02,2.45,0.19,0.11,0.49,0.06,0.1,0.03
31.01.1927,0.03,0.09,2.54,0.77,1.74,6.42,0.25,5.54,0.13,0.23,11.54,4.51,2.92,3.32,12.54,1.35,16.26,0.64,0.22,1.11,10.4,0,2.74,1.3,4.64,2,0,0.07,0.15,0.03,0.04,2.54,0.77,0.01,3.37,0,2.35,0.04,0.1,3.89,3.76,2.13,0.06,16.89,1.82,2.32,0.09,0.17,0,0,4.79,7.45,5.04,6.87,2.97,1.33,0,0.22,23.55,1.84,1.05,4.71,0.61,0.09,0.02
28.02.1927,0,0.21,1.58,0.48,1.53,1.25,0.34,5.09,0.1,0.69,28.56,5.37,4.79,8.11,12.78,1.38,16.94,0.67,0.07,0.23,19.28,0,1.54,0.43,2.1,0.91,0,0.1,0.09,0,0.1,1.57,0.48,0.01,0.66,0.01,2.16,0.03,0.32,9.62,4.47,3.49,0.16,17.21,1.85,2.42,0.1,0.05,0,0,2.69,4.18,1.65,3.11,1.34,0.6,0.01,0.14,14.52,1.14,0.64,2.91,0.38,0.13,0.03
31.03.1927,0.13,3.33,5.58,1.7,5.92,5.45,12.84,6.79,3.15,6.1,71.81,19.69,24.92,58.08,37.09,3.99,144.64,5.69,17.24,14.21,161.52,0,16.83,10.59,24.21,10.45,0,3.63,1.1,0.13,1.52,5.56,1.69,0.03,2.86,0.25,2.88,0.93,2.78,24.19,16.41,18.17,1.13,49.95,5.38,20.66,0.81,12.95,0.05,0,29.46,45.78,40.97,35.89,15.49,6.96,0.19,1.65,173.27,13.55,7.69,34.69,4.52,4.77,1.3
30.04.1927,2.12,25.03,59.75,18.18,95.29,107.45,64.62,40.49,33.45,56.38,88.49,50.37,52.82,147.82,17.17,1.85,107.42,4.23,27.18,68.01,213.66,0,11.24,14.06,16.21,7,0,18.28,1.04,2.03,11.41,59.54,18.11,0.48,56.46,1.26,17.19,9.84,25.69,29.8,41.99,38.52,2.87,23.12,2.49,15.35,0.6,20.42,0.23,0,19.68,30.59,54.4,24.03,10.37,4.66,0.96,1.57,164.48,12.86,7.3,32.92,4.29,24.02,6.53
31.05.1927,3.58,43.1,78.42,23.85,146.85,131.33,135.73,43.32,98.09,146.12,158.24,74.24,79.71,273.7,59.68,6.43,230.59,9.08,40.47,168.23,391.28,0,22.63,28.08,40.42,17.45,0,38.39,2.18,3.43,19.64,78.13,23.77,0.75,69,2.64,18.39,28.86,66.59,53.29,61.89,58.13,5.31,80.37,8.65,32.94,1.3,30.42,0.57,0,39.62,61.57,108.63,59.91,25.86,11.61,2.02,3.27,343.26,26.83,15.24,68.71,8.94,50.45,13.71
30.06.1927,4.02,50.35,86.63,26.35,176.44,158.44,163.17,57.42,121.18,205.47,213.32,80.9,90.77,311.2,97.64,10.51,333.56,13.13,41.51,173.5,516.98,0,33.15,28.91,52.49,22.66,0,46.15,2.75,3.85,22.95,86.32,26.26,0.9,83.25,3.17,24.38,35.65,93.63,71.84,67.44,66.2,6.03,131.49,14.16,47.65,1.88,31.2,0.59,0,58.03,90.19,111.86,77.8,33.58,15.08,2.43,4.12,432.66,33.82,19.21,86.61,11.27,60.64,16.48
31.07.1927,4.42,61.67,92.3,28.08,190.4,168.35,183.27,61.61,141.28,229.97,230.3,82.94,94.84,343.48,98.78,10.63,367.02,14.45,42.01,171.15,529.63,0,38.28,32.3,59.29,25.59,0,51.84,3,4.24,28.11,91.97,27.97,0.97,88.46,3.56,26.16,41.56,104.8,77.56,69.14,69.17,6.66,133.02,14.32,52.43,2.06,31.57,0.58,0,67.02,104.16,124.99,87.88,37.93,17.03,2.73,4.5,472.98,36.97,21,94.68,12.32,68.12,18.51
31.08.1927,4.2,51.65,79.64,24.22,153.45,133.41,142.17,49.44,114.55,159.09,192.96,69.46,73.73,293.21,80.31,8.65,302.9,11.93,31.6,132.81,403.49,0,32.48,25.96,48.9,21.11,0,40.21,2.44,4.03,23.54,79.35,24.14,0.78,70.1,2.76,20.99,33.7,72.5,64.99,57.9,53.77,5.69,108.14,11.64,43.27,1.7,23.74,0.45,0,56.86,88.37,100.43,72.48,31.28,14.05,2.12,3.66,383.85,30.01,17.04,76.84,10,52.84,14.36
30.09.1927,3.7,33.32,37.6,11.44,54.63,59.38,53.9,19.84,57.47,62.91,81.49,43.58,45.53,116.43,6.84,0.74,49.85,1.96,15.71,60.45,120.79,0,3.5,7.21,7.79,3.36,0,15.25,0.54,3.54,15.19,37.46,11.4,0.28,31.2,1.05,8.43,16.91,28.67,27.44,36.33,33.21,2.26,9.21,0.99,7.12,0.28,11.81,0.2,0,6.13,9.53,27.88,11.55,4.99,2.24,0.8,0.81,85.46,6.68,3.79,17.11,2.23,20.04,5.45
31.10.1927,2.31,11.19,22.62,6.88,17.47,43.15,27.34,9.3,21.41,17,58.64,20.92,24.71,59.43,17.74,1.91,85.04,3.35,6.44,26.11,77.7,0,9.11,5.55,12.88,5.56,0,7.73,0.61,2.22,5.1,22.53,6.85,0.09,22.67,0.53,3.95,6.3,7.75,19.75,17.44,18.02,1.15,23.9,2.57,12.15,0.48,4.84,0.09,0,15.96,24.8,21.46,19.1,8.24,3.7,0.41,0.91,95.81,7.49,4.25,19.18,2.5,10.16,2.76
30.11.1927,0.27,1.25,10.61,3.23,8.41,24.48,1.47,5.29,1.4,2.23,24.74,4.91,6.12,5.15,6.65,0.72,8.76,0.34,0.23,0.34,7.01,0,0.88,0.11,0.74,0.32,0,0.41,0.04,0.25,0.57,10.57,3.22,0.04,12.86,0.03,2.24,0.41,1.02,8.33,4.1,4.46,0.1,8.95,0.96,1.25,0.05,0.17,0,0,1.54,2.39,0.42,1.09,0.47,0.21,0.02,0.06,6.77,0.53,0.3,1.36,0.18,0.55,0.15
31.12.1927,0.11,0.1,4.68,1.42,6.67,16.23,0.27,5.81,0.45,0.14,13.01,2.96,5.27,2.35,10.87,1.17,9.06,0.36,0,0,2.11,0,0.05,0,0,0,0,0.08,0.02,0.1,0.05,4.66,1.42,0.03,8.53,0.01,2.47,0.13,0.06,4.38,2.47,3.84,0.05,14.64,1.58,1.29,0.05,0,0,0,0.08,0.13,0,0,0,0,0,0.02,2.45,0.19,0.11,0.49,0.06,0.1,0.03
31.01.1928,0.03,0.09,2.54,0.77,1.74,6.42,0.25,5.54,0.13,0.23,11.54,4.51,2.92,3.32,12.54,1.35,16.26,0.64,0.22,1.11,10.4,0,2.74,1.3,4.64,2,0,0.07,0.15,0.03,0.04,2.54,0.77,0.01,3.37,0,2.35,0.04,0.1,3.89,3.76,2.13,0.06,16.89,1.82,2.32,0.09,0.17,0,0,4.79,7.45,5.04,6.87,2.97,1.33,0,0.22,23.55,1.84,1.05,4.71,0.61,0.09,0.02
29.02.1928,0,0.21,1.58,0.48,1.53,1.25,0.34,5.09,0.1,0.69,28.56,5.37,4.79,8.11,12.78,1.38,16.94,0.67,0.07,0.23,19.28,0,1.54,0.43,2.1,0.91,0,0.1,0.09,0,0.1,1.57,0.48,0.01,0.66,0.01,2.16,0.03,0.32,9.62,4.47,3.49,0.16,17.21,1.85,2.42,0.1,0.05,0,0,2.69,4.18,1.65,3.11,1.34,0.6,0.01,0.14,14.52,1.14,0.64,2.91,0.38,0.13,0.03
31.03.1928,0.13,3.33,5.58,1.7,5.92,5.45,12.84,6.79,3.15,6.1,71.81,19.69,24.92,58.08,37.09,3.99,144.64,5.69,17.24,14.21,161.52,0,16.83,10.59,24.21,10.45,0,3.63,1.1,0.13,1.52,5.56,1.69,0.03,2.86,0.25,2.88,0.93,2.78,24.19,16.41,18.17,1.13,49.95,5.38,20.66,0.81,12.95,0.05,0,29.46,45.78,40.97,35.89,15.49,6.96,0.19,1.65,173.27,13.55,7.69,34.69,4.52,4.77,1.3
30.04.1928,2.12,25.03,59.75,18.18,95.29,107.45,64.62,40.49,33.45,56.38,88.49,50.37,52.82,147.82,17.17,1.85,107.42,4.23,27.18,68.01,213.66,0,11.24,14.06,16.21,7,0,18.28,1.04,2.03,11.41,59.54,18.11,0.48,56.46,1.26,17.19,9.84,25.69,29.8,41.99,38.52,2.87,23.12,2.49,15.35,0.6,20.42,0.23,0,19.68,30.59,54.4,24.03,10.37,4.66,0.96,1.57,164.48,12.86,7.3,32.92,4.29,24.02,6.53
31.05.1928,3.58,43.1,78.42,23.85,146.85,131.33,135.73,43.32,98.09,146.12,158.24,74.24,79.71,273.7,59.68,6.43,230.59,9.08,40.47,168.23,391.28,0,22.63,28.08,40.42,17.45,0,38.39,2.18,3.43,19.64,78.13,23.77,0.75,69,2.64,18.39,28.86,66.59,53.29,61.89,58.13,5.31,80.37,8.65,32.94,1.3,30.42,0.57,0,39.62,61.57,108.63,59.91,25.86,11.61,2.02,3.27,343.26,26.83,15.24,68.71,8.94,50.45,13.71
30.06.1928,4.02,50.35,86.63,26.35,176.44,158.44,163.17,57.42,121.18,205.47,213.32,80.9,90.77,311.2,97.64,10.51,333.56,13.13,41.51,173.5,516.98,0,33.15,28.91,52.49,22.66,0,46.15,2.75,3.85,22.95,86.32,26.26,0.9,83.25,3.17,24.38,35.65,93.63,71.84,67.44,66.2,6.03,131.49,14.16,47.65,1.88,31.2,0.59,0,58.03,90.19,111.86,77.8,33.58,15.08,2.43,4.12,432.66,33.82,19.21,86.61,11.27,60.64,16.48
31.07.1928,4.42,61.67,92.3,28.08,190.4,168.35,183.27,61.61,141.28,229.97,230.3,82.94,94.84,343.48,98.78,10.63,367.02,14.45,42.01,171.15,529.63,0,38.28,32.3,59.29,25.59,0,51.84,3,4.24,28.11,91.97,27.97,0.97,88.46,3.56,26.16,41.56,104.8,77.56,69.14,69.17,6.66,133.02,14.32,52.43,2.06,31.57,0.58,0,67.02,104.16,124.99,87.88,37.93,17.03,2.73,4.5,472.98,36.97,21,94.68,12.32,68.12,18.51
31.08.1928,4.2,51.65,79.64,24.22,153.45,133.41,142.17,49.44,114.55,159.09,192.96,69.46,73.73,293.21,80.31,8.65,302.9,11.93,31.6,132.81,403.49,0,32.48,25.96,48.9,21.11,0,40.21,2.44,4.03,23.54,79.35,24.14,0.78,70.1,2.76,20.99,33.7,72.5,64.99,57.9,53.77,5.69,108.14,11.64,43.27,1.7,23.74,0.45,0,56.86,88.37,100.43,72.48,31.28,14.05,2.12,3.66,383.85,30.01,17.04,76.84,10,52.84,14.36
30.09.1928,3.7,33.32,37.6,11.44,54.63,59.38,53.9,19.84,57.47,62.91,81.49,43.58,45.53,116.43,6.84,0.74,49.85,1.96,15.71,60.45,120.79,0,3.5,7.21,7.79,3.36,0,15.25,0.54,3.54,15.19,37.46,11.4,0.28,31.2,1.05,8.43,16.91,28.67,27.44,36.33,33.21,2.26,9.21,0.99,7.12,0.28,11.81,0.2,0,6.13,9.53,27.88,11.55,4.99,2.24,0.8,0.81,85.46,6.68,3.79,17.11,2.23,20.04,5.45
31.10.1928,2.31,11.19,22.62,6.88,17.47,43.15,27.34,9.3,21.41,17,58.64,20.92,24.71,59.43,17.74,1.91,85.04,3.35,6.44,26.11,77.7,0,9.11,5.55,12.88,5.56,0,7.73,0.61,2.22,5.1,22.53,6.85,0.09,22.67,0.53,3.95,6.3,7.75,19.75,17.44,18.02,1.15,23.9,2.57,12.15,0.48,4.84,0.09,0,15.96,24.8,21.46,19.1,8.24,3.7,0.41,0.91,95.81,7.49,4.25,19.18,2.5,10.16,2.76
30.11.1928,0.27,1.25,10.61,3.23,8.41,24.48,1.47,5.29,1.4,2.23,24.74,4.91,6.12,5.15,6.65,0.72,8.76,0.34,0.23,0.34,7.01,0,0.88,0.11,0.74,0.32,0,0.41,0.04,0.25,0.57,10.57,3.22,0.04,12.86,0.03,2.24,0.41,1.02,8.33,4.1,4.46,0.1,8.95,0.96,1.25,0.05,0.17,0,0,1.54,2.39,0.42,1.09,0.47,0.21,0.02,0.06,6.77,0.53,0.3,1.36,0.18,0.55,0.15
31.12.1928,0.11,0.1,4.68,1.42,6.67,16.23,0.27,5.81,0.45,0.14,13.01,2.96,5.27,2.35,10.87,1.17,9.06,0.36,0,0,2.11,0,0.05,0,0,0,0,0.08,0.02,0.1,0.05,4.66,1.42,0.03,8.53,0.01,2.47,0.13,0.06,4.38,2.47,3.84,0.05,14.64,1.58,1.29,0.05,0,0,0,0.08,0.13,0,0,0,0,0,0.02,2.45,0.19,0.11,0.49,0.06,0.1,0.03
31.01.1929,0.03,0.09,2.54,0.77,1.74,6.42,0.25,5.54,0.13,0.23,11.54,4.51,2.92,3.32,12.54,1.35,16.26,0.64,0.22,1.11,10.4,0,2.74,1.3,4.64,2,0,0.07,0.15,0.03,0.04,2.54,0.77,0.01,3.37,0,2.35,0.04,0.1,3.89,3.76,2.13,0.06,16.89,1.82,2.32,0.09,0.17,0,0,4.79,7.45,5.04,6.87,2.97,1.33,0,0.22,23.55,1.84,1.05,4.71,0.61,0.09,0.02
28.02.1929,0,0.21,1.58,0.48,1.53,1.25,0.34,5.09,0.1,0.69,28.56,5.37,4.79,8.11,12.78,1.38,16.94,0.67,0.07,0.23,19.28,0,1.54,0.43,2.1,0.91,0,0.1,0.09,0,0.1,1.57,0.48,0.01,0.66,0.01,2.16,0.03,0.32,9.62,4.47,3.49,0.16,17.21,1.85,2.42,0.1,0.05,0,0,2.69,4.18,1.65,3.11,1.34,0.6,0.01,0.14,14.52,1.14,0.64,2.91,0.38,0.13,0.03
31.03.1929,0.13,3.33,5.58,1.7,5.92,5.45,12.84,6.79,3.15,6.1,71.81,19.69,24.92,58.08,37.09,3.99,144.64,5.69,17.24,14.21,161.52,0,16.83,10.59,24.21,10.45,0,3.63,1.1,0.13,1.52,5.56,1.69,0.03,2.86,0.25,2.88,0.93,2.78,24.19,16.41,18.17,1.13,49.95,5.38,20.66,0.81,12.95,0.05,0,29.46,45.78,40.97,35.89,15.49,6.96,0.19,1.65,173.27,13.55,7.69,34.69,4.52,4.77,1.3
30.04.1929,2.12,25.03,59.75,18.18,95.29,107.45,64.62,40.49,33.45,56.38,88.49,50.37,52.82,147.82,17.17,1.85,107.42,4.23,27.18,68.01,213.66,0,11.24,14.06,16.21,7,0,18.28,1.04,2.03,11.41,59.54,18.11,0.48,56.46,1.26,17.19,9.84,25.69,29.8,41.99,38.52,2.87,23.12,2.49,15.35,0.6,20.42,0.23,0,19.68,30.59,54.4,24.03,10.37,4.66,0.96,1.57,164.48,12.86,7.3,32.92,4.29,24.02,6.53
31.05.1929,3.58,43.1,78.42,23.85,146.85,131.33,135.73,43.32,98.09,146.12,158.24,74.24,79.71,273.7,59.68,6.43,230.59,9.08,40.47,168.23,391.28,0,22.63,28.08,40.42,17.45,0,38.39,2.18,3.43,19.64,78.13,23.77,0.75,69,2.64,18.39,28.86,66.59,53.29,61.89,58.13,5.31,80.37,8.65,32.94,1.3,30.42,0.57,0,39.62,61.57,108.63,59.91,25.86,11.61,2.02,3.27,343.26,26.83,15.24,68.71,8.94,50.45,13.71
30.06.1929,4.02,50.35,86.63,26.35,176.44,158.44,163.17,57.42,121.18,205.47,213.32,80.9,90.77,311.2,97.64,10.51,333.56,13.13,41.51,173.5,516.98,0,33.15,28.91,52.49,22.66,0,46.15,2.75,3.85,22.95,86.32,26.26,0.9,83.25,3.17,24.38,35.65,93.63,71.84,67.44,66.2,6.03,131.49,14.16,47.65,1.88,31.2,0.59,0,58.03,90.19,111.86,77.8,33.58,15.08,2.43,4.12,432.66,33.82,19.21,86.61,11.27,60.64,16.48
31.07.1929,4.42,61.67,92.3,28.08,190.4,168.35,183.27,61.61,141.28,229.97,230.3,82.94,94.84,343.48,98.78,10.63,367.02,14.45,42.01,171.15,529.63,0,38.28,32.3,59.29,25.59,0,51.84,3,4.24,28.11,91.97,27.97,0.97,88.46,3.56,26.16,41.56,104.8,77.56,69.14,69.17,6.66,133.02,14.32,52.43,2.06,31.57,0.58,0,67.02,104.16,124.99,87.88,37.93,17.03,2.73,4.5,472.98,36.97,21,94.68,12.32,68.12,18.51
31.08.1929,4.2,51.65,79.64,24.22,153.45,133.41,142.17,49.44,114.55,159.09,192.96,69.46,73.73,293.21,80.31,8.65,302.9,11.93,31.6,132.81,403.49,0,32.48,25.96,48.9,21.11,0,40.21,2.44,4.03,23.54,79.35,24.14,0.78,70.1,2.76,20.99,33.7,72.5,64.99,57.9,53.77,5.69,108.14,11.64,43.27,1.7,23.74,0.45,0,56.86,88.37,100.43,72.48,31.28,14.05,2.12,3.66,383.85,30.01,17.04,76.84,10,52.84,14.36
30.09.1929,3.7,33.32,37.6,11.44,54.63,59.38,53.9,19.84,57.47,62.91,81.49,43.58,45.53,116.43,6.84,0.74,49.85,1.96,15.71,60.45,120.79,0,3.5,7.21,7.79,3.36,0,15.25,0.54,3.54,15.19,37.46,11.4,0.28,31.2,1.05,8.43,16.91,28.67,27.44,36.33,33.21,2.26,9.21,0.99,7.12,0.28,11.81,0.2,0,6.13,9.53,27.88,11.55,4.99,2.24,0.8,0.81,85.46,6.68,3.79,17.11,2.23,20.04,5.45
31.10.1929,2.31,11.19,22.62,6.88,17.47,43.15,27.34,9.3,21.41,17,58.64,20.92,24.71,59.43,17.74,1.91,85.04,3.35,6.44,26.11,77.7,0,9.11,5.55,12.88,5.56,0,7.73,0.61,2.22,5.1,22.53,6.85,0.09,22.67,0.53,3.95,6.3,7.75,19.75,17.44,18.02,1.15,23.9,2.57,12.15,0.48,4.84,0.09,0,15.96,24.8,21.46,19.1,8.24,3.7,0.41,0.91,95.81,7.49,4.25,19.18,2.5,10.16,2.76
30.11.1929,0.27,1.25,10.61,3.23,8.41,24.48,1.47,5.29,1.4,2.23,24.74,4.91,6.12,5.15,6.65,0.72,8.76,0.34,0.23,0.34,7.01,0,0.88,0.11,0.74,0.32,0,0.41,0.04,0.25,0.57,10.57,3.22,0.04,12.86,0.03,2.24,0.41,1.02,8.33,4.1,4.46,0.1,8.95,0.96,1.25,0.05,0.17,0,0,1.54,2.39,0.42,1.09,0.47,0.21,0.02,0.06,6.77,0.53,0.3,1.36,0.18,0.55,0.15
31.12.1929,0.11,0.1,4.68,1.42,6.67,16.23,0.27,5.81,0.45,0.14,13.01,2.96,5.27,2.35,10.87,1.17,9.06,0.36,0,0,2.11,0,0.05,0,0,0,0,0.08,0.02,0.1,0.05,4.66,1.42,0.03,8.53,0.01,2.47,0.13,0.06,4.38,2.47,3.84,0.05,14.64,1.58,1.29,0.05,0,0,0,0.08,0.13,0,0,0,0,0,0.02,2.45,0.19,0.11,0.49,0.06,0.1,0.03
31.01.1930,0.03,0.09,2.54,0.77,1.74,6.42,0.25,5.54,0.13,0.23,11.54,4.51,2.92,3.32,12.54,1.35,16.26,0.64,0.22,1.11,10.4,0,2.74,1.3,4.64,2,0,0.07,0.15,0.03,0.04,2.54,0.77,0.01,3.37,0,2.35,0.04,0.1,3.89,3.76,2.13,0.06,16.89,1.82,2.32,0.09,0.17,0,0,4.79,7.45,5.04,6.87,2.97,1.33,0,0.22,23.55,1.84,1.05,4.71,0.61,0.09,0.02
28.02.1930,0,0.21,1.58,0.48,1.53,1.25,0.34,5.09,0.1,0.69,28.56,5.37,4.79,8.11,12.78,1.38,16.94,0.67,0.07,0.23,19.28,0,1.54,0.43,2.1,0.91,0,0.1,0.09,0,0.1,1.57,0.48,0.01,0.66,0.01,2.16,0.03,0.32,9.62,4.47,3.49,0.16,17.21,1.85,2.42,0.1,0.05,0,0,2.69,4.18,1.65,3.11,1.34,0.6,0.01,0.14,14.52,1.14,0.64,2.91,0.38,0.13,0.03
31.03.1930,0.13,3.33,5.58,1.7,5.92,5.45,12.84,6.79,3.15,6.1,71.81,19.69,24.92,58.08,37.09,3.99,144.64,5.69,17.24,14.21,161.52,0,16.83,10.59,24.21,10.45,0,3.63,1.1,0.13,1.52,5.56,1.69,0.03,2.86,0.25,2.88,0.93,2.78,24.19,16.41,18.17,1.13,49.95,5.38,20.66,0.81,12.95,0.05,0,29.46,45.78,40.97,35.89,15.49,6.96,0.19,1.65,173.27,13.55,7.69,34.69,4.52,4.77,1.3
